Name of Hawker Centre / Market,Latitude,Longitude
Adam Food Centre,1.324159853,103.8141659
Amoy Street Food Centre,1.27923121,103.8466193
Bedok Food Centre,1.320347168,103.9554806
Beo Crescent Market,1.288830892,103.8273539
Berseh Food Centre,1.307344109,103.8568888
Bukit Timah Market,1.339452429,103.7760073
Chomp Chomp Food Centre,1.364232525,103.866527
Commonwealth Crescent Market,1.306900132,103.8003673
Dunman Food Centre,1.309417888,103.9018254
East Coast Lagoon Food Village,1.307261066,103.9347997
Geylang Serai Market,1.31672515,103.8979774
Golden Mile Food Centre,1.303141753,103.8638776
Holland Village Market & Food Centre,1.311072974,103.7948764
Kallang Estate Market,1.307343984,103.8840177
Margaret Drive Hawker Centre,1.297425851,103.8047105
Market Street Hawker Centre,1.284059452,103.8498824
Marsiling Mall Hawker Centre,1.433543181,103.7798819
Maxwell Food Centre,1.280331427,103.8447472
Newton Food Centre,1.312114273,103.8398132
North Bridge Road Market & Food Centre,1.305634337,103.8639093
Pasir Panjang Food Centre,1.275917974,103.7914109
Sembawang Hills Food Centre,1.372319493,103.8290181
Serangoon Garden Market,1.363085011,103.8667249
Taman Jurong Market & Food Centre,1.334721066,103.7215838
Tanglin Halt Market,1.300544075,103.797738
Tiong Bahru Market,1.284685992,103.8324216
Zion Riverside Food Centre,1.292342211,103.831189
ABC Brickworks Market & Food Centre,1.286882973,103.8081313
Albert Centre Market & Food Centre,1.301001496,103.8542117
Alexandra Village Food Centre,1.286305943,103.8044926
117 Aljunied Ave 2,1.320646368,103.8870241
226D Ang Mo Kio Ave 1,1.366810005,103.8391426
341 Ang Mo Kio Ave 1,1.36410721,103.8482422
160 Ang Mo Kio Ave 4,1.374527738,103.8391761
162 Ang Mo Kio Ave 4,1.37410757,103.8388639
628 Ang Mo Kio Ave 4,1.380987617,103.8406281
724 Ang Mo Kio Ave 6,1.372172585,103.8465103
409 Ang Mo Kio Ave 10,1.362654107,103.8552883
453A Ang Mo Kio Ave 10,1.368240537,103.8563515
