Primary Schools,Latitude,Longitude
Admiralty Primary School,1.44263479,103.8000401
Ahmad Ibrahim Primary School,1.433152715,103.8329424
Ai Tong School,1.360583434,103.8330203
Alexandra Primary School,1.291334392,103.8244247
Anchor Green Primary School,1.390369987,103.8871654
Anderson Primary School,1.384264294,103.8413921
Ang Mo Kio Primary School,1.369321766,103.8396309
Anglo-Chinese School (Junior),1.309322527,103.8415521
Anglo-Chinese School (Primary),1.318370545,103.8356097
Angsana Primary School,1.348552876,103.9518081
Beacon Primary School,1.383949362,103.773632
Bedok Green Primary School,1.323445933,103.937879
Bendemeer Primary School,1.321812508,103.8654042
Blangah Rise Primary School,1.276145229,103.8086132
Boon Lay Garden Primary School,1.342840138,103.7128584
Bukit Panjang Primary School,1.373621793,103.7693749
Bukit Timah Primary School,1.337749862,103.7668553
Bukit View Primary School,1.345860548,103.7536664
Canberra Primary School,1.451250244,103.8158589
Canossa Catholic Primary School,1.326644245,103.882228
Cantonment Primary School,1.275472526,103.8399626
Casuarina Primary School,1.372460639,103.9570203
Catholic High School,1.354723075,103.8448747
Cedar Primary School,1.335660844,103.8756201
Changkat Primary School,1.34023164,103.9520801
CHIJ (Katong) Primary,1.306485353,103.9111056
CHIJ (Kellock),1.274740489,103.827954
CHIJ Our Lady of Good Counsel,1.357429523,103.8640094
CHIJ Our Lady Of The Nativity,1.373574097,103.897769
CHIJ Our Lady Queen of Peace,1.366603669,103.7674122
CHIJ Primary (Toa Payoh),1.332752647,103.8418473
CHIJ St. Nicholas Girls' School,1.373476879,103.8342533
Chongfu School,1.438395629,103.8393092
Chongzheng Primary School,1.350611306,103.9513173
Chua Chu Kang Primary School,1.377758901,103.7418329
Clementi Primary School,1.315063218,103.7631445
Compassvale Primary School,1.394445296,103.8978122
Concord Primary School,1.380008062,103.7362254
Corporation Primary School,1.350997799,103.7075937
Damai Primary School,1.335461068,103.9212702
Dazhong Primary School,1.359179745,103.7484721
De La Salle School,1.39470783,103.7432018
East Spring Primary School,1.352684007,103.9616768
Edgefield Primary School,1.40029783,103.9074305
Elias Park Primary School,1.375056963,103.9452894
Endeavour Primary School,1.454038375,103.8174362
Eunos Primary School,1.324476299,103.9045413
Evergreen Primary School,1.444153328,103.7945778
Fairfield Methodist School (Primary),1.301004419,103.7854556
Farrer Park Primary School,1.312368677,103.8507664
Fengshan Primary School,1.329805988,103.9317103
Fern Green Primary School,1.397269661,103.8803303
Fernvale Primary School,1.39030228,103.8744455
First Toa Payoh Primary School,1.340322995,103.8555299
Frontier Primary School,1.336643112,103.6996828
